ILSVRC2012_val_00000007.bin 0c0a08080505050404040404040303
ILSVRC2012_val_00000423.bin 0c0a07070606060505050404040404
ILSVRC2012_val_00000428.bin 050404040404040404040303030303
ILSVRC2012_val_00000443.bin 0a0808070706050504040404040303
ILSVRC2012_val_00000446.bin 080706060605050505040404040404
ILSVRC2012_val_00000447.bin 080704030303030303030303030302
ILSVRC2012_val_00000448.bin 080505050404040404040303030303
ILSVRC2012_val_00000453.bin 090808070707070707070606060605
ILSVRC2012_val_00000454.bin 13100a090707070706060605050505
ILSVRC2012_val_00000459.bin 060606060505050404040404040403
ILSVRC2012_val_00000463.bin 070707070606050505050404040403
ILSVRC2012_val_00000479.bin 060505040404040403030303030303
ILSVRC2012_val_00000481.bin 0c0908070706050505050404040404
ILSVRC2012_val_00000493.bin 050505050505040403030303030303
ILSVRC2012_val_00000494.bin 090707060606050505050504040404
ILSVRC2012_val_00000516.bin 050303030303030303030303030303
ILSVRC2012_val_00000519.bin 060404040403030303030303030303
ILSVRC2012_val_00000535.bin 030303030302020202020202020202
ILSVRC2012_val_00000537.bin 070605050505040404040403030303
ILSVRC2012_val_00000555.bin 060505040404040404030303030303
ILSVRC2012_val_00000568.bin 0d0a07060605050404040404040404
ILSVRC2012_val_00000572.bin 050404040404040404040404040303
ILSVRC2012_val_00000589.bin 080706050504030303030303030202
ILSVRC2012_val_00000605.bin 090707050505050404040404030303
ILSVRC2012_val_00000606.bin 080707060605050505040404040404
ILSVRC2012_val_00000614.bin 060505040404040404040303030303
ILSVRC2012_val_00000617.bin 0d0808060606060505050505040404
ILSVRC2012_val_00000624.bin 080605050505050404040404040404
ILSVRC2012_val_00000625.bin 0f0b09090807070706050505050504
ILSVRC2012_val_00000627.bin 070706060606050504040404030303
ILSVRC2012_val_00000647.bin 070606060505050404040404040403
ILSVRC2012_val_00000649.bin 060404040404030303030303020202
ILSVRC2012_val_00000653.bin 060605050505040404040404040303
ILSVRC2012_val_00000657.bin 0c0908080806060505040404040303
ILSVRC2012_val_00000660.bin 060505050404040404040403030303
ILSVRC2012_val_00000669.bin 070606050505040404040403030303
ILSVRC2012_val_00000673.bin 080705050505050505040404040404
ILSVRC2012_val_00000678.bin 050504040403030303030303030302
ILSVRC2012_val_00000679.bin 0f0d0a090808060606050505050404
ILSVRC2012_val_00000682.bin 0c0806050505050404040404040303
ILSVRC2012_val_00000684.bin 050504040404040403030303030303
ILSVRC2012_val_00000698.bin 050303030303030303030303030303
ILSVRC2012_val_00000706.bin 0a0606050505050505040404040404
ILSVRC2012_val_00000710.bin 080707070605050505050504040404
ILSVRC2012_val_00000711.bin 0d0a09090908070606060606060404
ILSVRC2012_val_00000712.bin 070606050505040404040404030303
ILSVRC2012_val_00000722.bin 070707060606060505050505050504
ILSVRC2012_val_00000728.bin 080706060606050505050404040403
ILSVRC2012_val_00000736.bin 0e0a0a0a0909080808080707060605
ILSVRC2012_val_00000737.bin 070706060605050504040404040404
ILSVRC2012_val_00000742.bin 0b0b09080707060605050505050404
ILSVRC2012_val_00000745.bin 060404030303030303030303030303
ILSVRC2012_val_00000767.bin 0a0806060606050404040403030303
ILSVRC2012_val_00000769.bin 080706050505050505050505040404
ILSVRC2012_val_00000773.bin 0f0908080808080807070706060606
ILSVRC2012_val_00000789.bin 090909070707070606060606050505
ILSVRC2012_val_00000792.bin 090909090807060606060605050505
ILSVRC2012_val_00000797.bin 0d0b0a0a0707070707070706060505
ILSVRC2012_val_00000803.bin 060605050505050505040404040404
ILSVRC2012_val_00000805.bin 080808070706060505050505040404
ILSVRC2012_val_00000808.bin 070606060606050505050404040404
ILSVRC2012_val_00000811.bin 080606060605050404040404030303
ILSVRC2012_val_00000815.bin 040404040404030303030303030303
ILSVRC2012_val_00000841.bin 070605040404040404040303030303
ILSVRC2012_val_00000846.bin 080807060606050505050505040404
ILSVRC2012_val_00000856.bin 070404040403030303030303030303
ILSVRC2012_val_00000861.bin 090604040404040404040404040303
ILSVRC2012_val_00000876.bin 070606050505050505050404040404
ILSVRC2012_val_00000887.bin 070606060606050505050505040404
ILSVRC2012_val_00000891.bin 080404040404030303030303030303
ILSVRC2012_val_00000904.bin 080404040404030303030303030303
ILSVRC2012_val_00000927.bin 070505040404040404030303030303
ILSVRC2012_val_00000942.bin 090807070707070606050505040404
ILSVRC2012_val_00000943.bin 120d0d080808080706060505040404
ILSVRC2012_val_00000957.bin 070707060606050505050504040404
ILSVRC2012_val_00000970.bin 0d0908080706060505050504040403
ILSVRC2012_val_00000977.bin 070605050504040404040404030303
ILSVRC2012_val_00000984.bin 070707070706060606050505050505
ILSVRC2012_val_00000994.bin 0f0908080707060606050505050505
ILSVRC2012_val_00001004.bin 080606060505040404040404030303
ILSVRC2012_val_00001006.bin 0a0706050505040404040404040303
ILSVRC2012_val_00001007.bin 080807060605050505040404040403
ILSVRC2012_val_00001013.bin 080606050504040404040404040404
ILSVRC2012_val_00001020.bin 050403030303030303030302020202
ILSVRC2012_val_00001029.bin 050504040404040404040404040403
ILSVRC2012_val_00001030.bin 080807070706060606050404040404
ILSVRC2012_val_00001045.bin 060505050505050404040404040303
ILSVRC2012_val_00001066.bin 0c0808050504040404040404040303
ILSVRC2012_val_00001071.bin 070707060605050504040404040404
ILSVRC2012_val_00001089.bin 070605050404040404040404040303
ILSVRC2012_val_00001105.bin 060605040404040404040404040404
ILSVRC2012_val_00001110.bin 0a0807060605050505050404040404
ILSVRC2012_val_00001116.bin 0e0e08070606060606050504040404
ILSVRC2012_val_00001118.bin 060605050504040404040404040403
ILSVRC2012_val_00001119.bin 070707060606050505050505040404
ILSVRC2012_val_00001151.bin 060605040404040404040302020202
ILSVRC2012_val_00001154.bin 090908080707070706060606060505
ILSVRC2012_val_00001161.bin 0c0907070707060505050505040404
ILSVRC2012_val_00001166.bin 050504040403030303030202020202
ILSVRC2012_val_00001170.bin 030303030303030303020202020202
ILSVRC2012_val_00001174.bin 080806060605050505050505050504
ILSVRC2012_val_00001181.bin 050504040404040404030303030303
ILSVRC2012_val_00001183.bin 070606050504040404040404040404
ILSVRC2012_val_00001192.bin 070606050504040404040404040404
ILSVRC2012_val_00001194.bin 070605050404040303030303030303
ILSVRC2012_val_00001196.bin 050404030302020202020202020202
ILSVRC2012_val_00001210.bin 080707070706060505040404040404
ILSVRC2012_val_00001211.bin 080706050505050404040404040404
ILSVRC2012_val_00001221.bin 040303030303030302020202020202
ILSVRC2012_val_00001226.bin 0d0a06060606060605050505040404
ILSVRC2012_val_00001235.bin 040404040303030303030303030303
ILSVRC2012_val_00001238.bin 080706060606050505040403030303
ILSVRC2012_val_00001241.bin 0d0c0a0a0908070706060505050505
ILSVRC2012_val_00001249.bin 080807070706060606050505050404
ILSVRC2012_val_00001251.bin 040404030303030303030303030302
ILSVRC2012_val_00001262.bin 0f0a0a090808070707070706060606
ILSVRC2012_val_00001265.bin 0a0807060606050505050504040404
ILSVRC2012_val_00001268.bin 0a0a0a080707060606060504040404
ILSVRC2012_val_00001275.bin 0b0807070606060605050505050504
ILSVRC2012_val_00001276.bin 0a0a09080807060606050505050505
ILSVRC2012_val_00001283.bin 0f0d0d0d0d0a0a0a09090808070505
ILSVRC2012_val_00001287.bin 070706060606060605050505050404
ILSVRC2012_val_00001312.bin 070605050504040404040404030303
ILSVRC2012_val_00001317.bin 040404030303030303030202020202
ILSVRC2012_val_00001319.bin 0c0b0b0a0909080808080707070707
ILSVRC2012_val_00001321.bin 060505040404040303030303030303
ILSVRC2012_val_00001331.bin 070706060606050505050505050504
ILSVRC2012_val_00001337.bin 060505050505050404040403030303
ILSVRC2012_val_00001343.bin 080807060605050504040404040403
ILSVRC2012_val_00001353.bin 070505050504040404040404040303
ILSVRC2012_val_00001354.bin 070706060606060605050505050504
ILSVRC2012_val_00001359.bin 120907070606060505040404040404
ILSVRC2012_val_00001366.bin 100f0f0e0d0d0c0b0a090908060605
ILSVRC2012_val_00001367.bin 090606060605050504040404040404
ILSVRC2012_val_00001374.bin 080808070606060605050504040404
ILSVRC2012_val_00001378.bin 080707070707060606060606060505
ILSVRC2012_val_00001392.bin 070505050505040404040403030302
ILSVRC2012_val_00001402.bin 070606060505050404040404040404
ILSVRC2012_val_00001405.bin 050505050404040404040303030303
ILSVRC2012_val_00001406.bin 0b0909080807070706060605050505
ILSVRC2012_val_00001407.bin 100b0b0a0908070706050505050404
ILSVRC2012_val_00001420.bin 050504040404040404040303030303
ILSVRC2012_val_00001422.bin 050404030303030303030303030303
ILSVRC2012_val_00001431.bin 080606060505040404040403030303
ILSVRC2012_val_00001439.bin 0a0605050505040404040404040303
ILSVRC2012_val_00001447.bin 0c0908070505050504040404040303
ILSVRC2012_val_00001453.bin 070605050505040404040404040404
ILSVRC2012_val_00001463.bin 080707070706060505050404040404
ILSVRC2012_val_00001464.bin 060605050505050504040404040303
ILSVRC2012_val_00001468.bin 090909080606060606060505050505
ILSVRC2012_val_00001470.bin 040403030303030303030303020202
ILSVRC2012_val_00001471.bin 080807070707070606060605050505
ILSVRC2012_val_00001473.bin 090706050404040404040303030303
ILSVRC2012_val_00001478.bin 0d0606050505050404040404030303
ILSVRC2012_val_00001479.bin 050404040403030303030303020202
ILSVRC2012_val_00001492.bin 060505050505040404040404040403
ILSVRC2012_val_00001497.bin 080706060606060505050505050504
ILSVRC2012_val_00001499.bin 0b0a0a090908070606060505050404
ILSVRC2012_val_00001502.bin 090906060606060505050504040404
ILSVRC2012_val_00001503.bin 0e0a09090908080707070505050404
ILSVRC2012_val_00001514.bin 0a0a08070606050504040404040403
ILSVRC2012_val_00001517.bin 0c0a09090909080808070707070707
ILSVRC2012_val_00001522.bin 060505050504040404040303030303
ILSVRC2012_val_00001533.bin 070605050505050504040404040403
ILSVRC2012_val_00001542.bin 060605050505050504040404040303
ILSVRC2012_val_00001549.bin 080806060605050505050404040403
ILSVRC2012_val_00001559.bin 050404040303030303030303030202
ILSVRC2012_val_00001560.bin 050505040404040404030303030303
ILSVRC2012_val_00001565.bin 070707060606060505050505050505
ILSVRC2012_val_00001572.bin 0a0707060606050505050505050404
ILSVRC2012_val_00001584.bin 090808070606050505050504040404
ILSVRC2012_val_00001587.bin 080807060606060504040404040404
ILSVRC2012_val_00001589.bin 060606050404030303030302020202
ILSVRC2012_val_00001591.bin 050504030303030303030303030302
ILSVRC2012_val_00001601.bin 070706050505040404040404030303
ILSVRC2012_val_00001605.bin 050404040403030303030202020202
ILSVRC2012_val_00001609.bin 050404040404040403030303030303
ILSVRC2012_val_00001614.bin 070606060605050505050505040404
ILSVRC2012_val_00001615.bin 040404040303030303030303030202
ILSVRC2012_val_00001620.bin 080706060605050505050404040404
ILSVRC2012_val_00001628.bin 070706060606060605050404040404
ILSVRC2012_val_00001653.bin 0c0906060505050505050505040404
ILSVRC2012_val_00001654.bin 090706060606060505050504040404
ILSVRC2012_val_00001655.bin 080606050505050404040404040303
ILSVRC2012_val_00001658.bin 090707060606060505050505050505
ILSVRC2012_val_00001666.bin 0a0707070606060505050505050505
ILSVRC2012_val_00001668.bin 060504040404030303030303030303
ILSVRC2012_val_00001671.bin 090706050505040404040404040404
ILSVRC2012_val_00001675.bin 060606050505050505050504040404
ILSVRC2012_val_00001680.bin 0c0707060605050504040404040404
ILSVRC2012_val_00001681.bin 080808070606060505050505050404
ILSVRC2012_val_00001687.bin 070505050504040404040404030303
ILSVRC2012_val_00001704.bin 0a0909090908070707060606040404
ILSVRC2012_val_00001713.bin 0d0a0a0a0908070606060605050505
ILSVRC2012_val_00001721.bin 18110f0e0c0b080707060605050504
ILSVRC2012_val_00001730.bin 050404040404040303030303030303
ILSVRC2012_val_00001735.bin 070606050505040404030303030303
ILSVRC2012_val_00001738.bin 080706060605050404040404040404
ILSVRC2012_val_00001740.bin 140d0a0a0908070706060605040404
ILSVRC2012_val_00001748.bin 070605050505050504040404040404
ILSVRC2012_val_00001752.bin 0f0b0b090909080807060605050505
ILSVRC2012_val_00001754.bin 050404040404040403030303030303
ILSVRC2012_val_00001755.bin 0a0808080707070706060606050505
ILSVRC2012_val_00001760.bin 0f0d0c0b0b0a090707060605050505
ILSVRC2012_val_00001761.bin 050505050505040404040404030303
ILSVRC2012_val_00001766.bin 0a0908080605050505050404040404
ILSVRC2012_val_00001769.bin 050404040404040403030303030303
ILSVRC2012_val_00001770.bin 070606060605050505050504040404
ILSVRC2012_val_00001778.bin 0a0908080707070605050504040404
ILSVRC2012_val_00001780.bin 0b0a08080807070707070707060606
ILSVRC2012_val_00001785.bin 100b0b090808080707070606060606
ILSVRC2012_val_00001786.bin 070606040404030303030303030303
ILSVRC2012_val_00001806.bin 0a0606060505050504040404040404
ILSVRC2012_val_00001822.bin 050505050404040404040404030303
ILSVRC2012_val_00001826.bin 0d0908060606060605050505050404
ILSVRC2012_val_00001827.bin 070706060505050505040404040403
ILSVRC2012_val_00001831.bin 060505040404040404040404030303
ILSVRC2012_val_00001834.bin 040403030202020202020202020202
ILSVRC2012_val_00001838.bin 080706060606060505050505050504
ILSVRC2012_val_00001843.bin 080605050404040404040403030303
ILSVRC2012_val_00001847.bin 0c0907070606060504040404040404
ILSVRC2012_val_00001849.bin 050505040404040404030303030303
ILSVRC2012_val_00001853.bin 050404040404040303030303030303
ILSVRC2012_val_00001863.bin 070707060606050505050404040404
ILSVRC2012_val_00001875.bin 050404040403030303030303030303
ILSVRC2012_val_00001876.bin 0c0b0b0a0909090908080707070706
ILSVRC2012_val_00001887.bin 0d0908070707060505050404040404
ILSVRC2012_val_00001896.bin 070606060606050404040404040403
ILSVRC2012_val_00001905.bin 080807070606060505050505050505
ILSVRC2012_val_00001911.bin 070706060606060605050505050505
ILSVRC2012_val_00001912.bin 0f0a0a090807060606050505050404
ILSVRC2012_val_00001914.bin 070706050504040404040404040303
ILSVRC2012_val_00001918.bin 0a0909070706050505040404040303
ILSVRC2012_val_00001919.bin 060505040404040303030303030303
ILSVRC2012_val_00001920.bin 080807060504040404040404040404
ILSVRC2012_val_00001936.bin 070606060505050505040404040403
ILSVRC2012_val_00001951.bin 0b0808070707060605040404040404
ILSVRC2012_val_00001954.bin 050505050404040403030303030303
ILSVRC2012_val_00001959.bin 0a0807070707060606060605050505
ILSVRC2012_val_00001960.bin 0c0909060505050505040404040404
ILSVRC2012_val_00001967.bin 080705050404040404040303030303
ILSVRC2012_val_00001972.bin 0a0505050505040404030303030303
ILSVRC2012_val_00001979.bin 0a0706050505050504040404040303
ILSVRC2012_val_00001982.bin 070706060606060606050505050504
ILSVRC2012_val_00001988.bin 090907060606060505050504040403
ILSVRC2012_val_00001991.bin 050404040404040404030303030303
ILSVRC2012_val_00002005.bin 070606060505050505050505040404
ILSVRC2012_val_00002018.bin 050505050404040404040403030303
ILSVRC2012_val_00002035.bin 050404030303030303030303030202
ILSVRC2012_val_00002038.bin 060505050505050404040404040404
ILSVRC2012_val_00002039.bin 0d0909090807070707060606050505
ILSVRC2012_val_00002043.bin 070707060505050504040404040404
ILSVRC2012_val_00002048.bin 0e0807070706050505050504040404
ILSVRC2012_val_00002054.bin 080706060505040404040404040404
ILSVRC2012_val_00002060.bin 0b0b0a0a0a09090908080707070505
ILSVRC2012_val_00002067.bin 090504040303030303030303030202
ILSVRC2012_val_00002070.bin 100e06050505050505040404040303
ILSVRC2012_val_00002075.bin 040403030303030303030303020202
ILSVRC2012_val_00002081.bin 050505050505050404040404040303
ILSVRC2012_val_00002086.bin 060605050504040404040403030303
ILSVRC2012_val_00002098.bin 0f0c0b0b0a09090808070706060606
ILSVRC2012_val_00002110.bin 080808070707060606060505040404
ILSVRC2012_val_00002113.bin 060605050505040404040404040303
ILSVRC2012_val_00002124.bin 080706060606060505050404040404
ILSVRC2012_val_00002135.bin 070606050505050505050404030303
ILSVRC2012_val_00002160.bin 080606060605050505050505040404
ILSVRC2012_val_00002171.bin 070606060505050505050504040403
ILSVRC2012_val_00002174.bin 0a0808070605050505050404040404
ILSVRC2012_val_00002179.bin 0d0d0b0a0a09090807070706060606
ILSVRC2012_val_00002181.bin 060505050404040403030303030303
ILSVRC2012_val_00002183.bin 0a0908060605050504040404040404
ILSVRC2012_val_00002187.bin 080707060606060605050505050505
ILSVRC2012_val_00002196.bin 060606050505050505050404040404
ILSVRC2012_val_00002201.bin 050504030303030303030303030302
ILSVRC2012_val_00002209.bin 090706060505050504040404030303
ILSVRC2012_val_00002225.bin 0c0908070707060606060505050404
ILSVRC2012_val_00002240.bin 060606060505040404040404040303
ILSVRC2012_val_00002241.bin 050404040303030303020202020202
ILSVRC2012_val_00002249.bin 050404040303030303030303030303
ILSVRC2012_val_00002252.bin 060505040404040303030303030303
ILSVRC2012_val_00002255.bin 060505050404040404040404030303
ILSVRC2012_val_00002268.bin 070606060505050404040404040404
ILSVRC2012_val_00002274.bin 060303030303030303030303030202
ILSVRC2012_val_00002276.bin 0b0908060605050504040403030303
ILSVRC2012_val_00002285.bin 070606060505040404040403030302
ILSVRC2012_val_00002312.bin 080707060505050404040404030303
ILSVRC2012_val_00002314.bin 130d0d0b0a08070707070606060505
ILSVRC2012_val_00002342.bin 090908080808070706060606060606
ILSVRC2012_val_00002344.bin 070706060606060606050504040404
ILSVRC2012_val_00002347.bin 050505050505040404040404040404
ILSVRC2012_val_00002349.bin 0b0b08080707070706060606060606
ILSVRC2012_val_00002350.bin 110e0c0b0a0a090908080707070707
ILSVRC2012_val_00002351.bin 050505050404040404030303030303
ILSVRC2012_val_00002356.bin 080707060606050505040404040404
ILSVRC2012_val_00002360.bin 060504040404040303030303030303
ILSVRC2012_val_00002361.bin 050404040403030303030303030302
ILSVRC2012_val_00002363.bin 070605050505050505050505040404
ILSVRC2012_val_00002368.bin 050504040404040404030303030302
ILSVRC2012_val_00002371.bin 080706060606050505050505050505
ILSVRC2012_val_00002374.bin 0a0908080807070606050505050404
ILSVRC2012_val_00002375.bin 060605040404030303030303030303
ILSVRC2012_val_00002376.bin 090908070707070606060505050505
ILSVRC2012_val_00002408.bin 040303030303030303030302020202
ILSVRC2012_val_00002412.bin 080707070606060605050504040404
ILSVRC2012_val_00002414.bin 080707070706050505050505050504
ILSVRC2012_val_00002419.bin 0b0707060606060606050505050505
ILSVRC2012_val_00002421.bin 080707070606060606050504040404
ILSVRC2012_val_00002422.bin 070605050504040404040404040404
ILSVRC2012_val_00002423.bin 090706050504040404040404030303
ILSVRC2012_val_00002429.bin 050504040404040404040403030303
ILSVRC2012_val_00002435.bin 0a0909080808080606060605050505
ILSVRC2012_val_00002437.bin 090606060404040404030303030302
ILSVRC2012_val_00002440.bin 090706060505040404040303030303
ILSVRC2012_val_00002442.bin 070606050404040404040404040303
ILSVRC2012_val_00002448.bin 070605050505040404040404040403
ILSVRC2012_val_00002451.bin 050504040404030303030303030303
ILSVRC2012_val_00002458.bin 080606050505050505050404040404
ILSVRC2012_val_00002470.bin 0a0807070707060606060505050505
ILSVRC2012_val_00002483.bin 060505050505040404040403030303
ILSVRC2012_val_00002490.bin 0d0706060606060505050404040404
ILSVRC2012_val_00002499.bin 060606060505050505050504040403
ILSVRC2012_val_00002500.bin 040403030303030303030302020202
ILSVRC2012_val_00002510.bin 070706060505040404030303030303
ILSVRC2012_val_00002529.bin 080706060605050505040404040404
ILSVRC2012_val_00002538.bin 080805040404040404040404040303
ILSVRC2012_val_00002542.bin 090807070706050505050505040404
ILSVRC2012_val_00002547.bin 070505050404040404030303030303
ILSVRC2012_val_00002555.bin 0b0908070606060606060505050404
ILSVRC2012_val_00002560.bin 0b0b0b090908060606060505040404
ILSVRC2012_val_00002564.bin 0d0908080707070606060505050505
ILSVRC2012_val_00002566.bin 0b0a09080707070707060606060605
ILSVRC2012_val_00002580.bin 060606060505050505050404040404
ILSVRC2012_val_00002590.bin 0a0909090706060605050505050404
ILSVRC2012_val_00002594.bin 060604040404030303030303030303
ILSVRC2012_val_00002599.bin 090907070606050505050505050505
ILSVRC2012_val_00002601.bin 080605050505040404040303030303
ILSVRC2012_val_00002602.bin 0c0808060606060606060605040404
ILSVRC2012_val_00002613.bin 100b0b0a0706060606060505040404
ILSVRC2012_val_00002619.bin 070706060606050505040404040404
ILSVRC2012_val_00002631.bin 080706060505050505040404040404
ILSVRC2012_val_00002639.bin 060505050504040404040404040404
ILSVRC2012_val_00002640.bin 080707070605050505040404040404
ILSVRC2012_val_00002650.bin 050404040404040403030303030303
ILSVRC2012_val_00002660.bin 070606060606050505050505040404
ILSVRC2012_val_00002662.bin 050504040404040303030303030303
ILSVRC2012_val_00002666.bin 040404040403030303030303030303
ILSVRC2012_val_00002671.bin 060404030303030303030303030302
ILSVRC2012_val_00002675.bin 0b0706060505050404040403030303
ILSVRC2012_val_00002677.bin 060605050505050504040404040403
ILSVRC2012_val_00002680.bin 060605050505050505040404040404
ILSVRC2012_val_00002699.bin 070505050404040404040403030303
ILSVRC2012_val_00002702.bin 050404040404040303030303030303
ILSVRC2012_val_00002713.bin 040404040403030303030303030302
ILSVRC2012_val_00002722.bin 050404040404030303030303030303
ILSVRC2012_val_00002724.bin 080805050404040404030303030303
ILSVRC2012_val_00002728.bin 0c0a09090808080707070706060606
ILSVRC2012_val_00002731.bin 060404040303030303030303020202
ILSVRC2012_val_00002733.bin 070606050505050505050505040404
ILSVRC2012_val_00002737.bin 050404040404030303030303030303
ILSVRC2012_val_00002740.bin 050404040403030303030303030303
ILSVRC2012_val_00002744.bin 080807060606060404040404040403
ILSVRC2012_val_00002750.bin 090707060505040404040404040403
ILSVRC2012_val_00002755.bin 0b0807070706050505040404040404
ILSVRC2012_val_00002758.bin 090807060606060605050505050505
ILSVRC2012_val_00002761.bin 0a0606050504040404040404040404
ILSVRC2012_val_00002762.bin 110b0a0a0909090908070707060606
ILSVRC2012_val_00002763.bin 090706050505050504040404040404
ILSVRC2012_val_00002766.bin 0a0706060606060505050505050404
ILSVRC2012_val_00002771.bin 0a0a07070707070605050505050504
ILSVRC2012_val_00002777.bin 0a0908080808070606060505050505
ILSVRC2012_val_00002781.bin 070605040404040303030303020202
ILSVRC2012_val_00002782.bin 050403030303030303030303020202
ILSVRC2012_val_00002785.bin 0b0705050404040403030303030303
ILSVRC2012_val_00002789.bin 090605040403030303030303030303
ILSVRC2012_val_00002800.bin 0a0808060605050404040404040403
ILSVRC2012_val_00002811.bin 0a0a07060505050505050505040404
ILSVRC2012_val_00002814.bin 060606060605050504040404040404
ILSVRC2012_val_00002816.bin 0a0a09080806060605050505050505
ILSVRC2012_val_00002826.bin 050404040404040303030303030303
ILSVRC2012_val_00002833.bin 070606050505050505050505040404
ILSVRC2012_val_00002835.bin 120d0b0b0909080808080707070706
ILSVRC2012_val_00002841.bin 0e0907070706060505050404040404
ILSVRC2012_val_00002848.bin 060606060505050404040404040403
ILSVRC2012_val_00002850.bin 080807060404040303030303030303
ILSVRC2012_val_00002860.bin 0b0b09090808070706060605050505
ILSVRC2012_val_00002863.bin 110807070707060606060505050505
ILSVRC2012_val_00002870.bin 050505050404040404040404040303
ILSVRC2012_val_00002871.bin 070705050404040404040404040404
ILSVRC2012_val_00002875.bin 0b0606050505050404040404040404
ILSVRC2012_val_00002885.bin 090807060606050505050505040404
ILSVRC2012_val_00002905.bin 080707070606060605050505050504
ILSVRC2012_val_00002909.bin 050505040404040404030303030303
ILSVRC2012_val_00002910.bin 070707060606060605050505050505
ILSVRC2012_val_00002915.bin 0b0a09090707060606060605050505
ILSVRC2012_val_00002925.bin 050505050504040404040404030303
ILSVRC2012_val_00002957.bin 0c0808080707050505050505050404
ILSVRC2012_val_00002964.bin 050404040404030303030303030303
ILSVRC2012_val_00002972.bin 080807060606060505050505040404
ILSVRC2012_val_00002978.bin 120c0a090907070606060505040404
ILSVRC2012_val_00002981.bin 070605040404040404040403030303
ILSVRC2012_val_00002983.bin 0f0e0b090807070706060505040404
ILSVRC2012_val_00002985.bin 090707070606060605050504040404
ILSVRC2012_val_00002993.bin 050505040404040303030303030302
ILSVRC2012_val_00002996.bin 060505050404040303030303030303
ILSVRC2012_val_00003020.bin 080707060605050404030303030303
ILSVRC2012_val_00003023.bin 050404040403030303030303030303
ILSVRC2012_val_00003025.bin 060505050505040404040403030303
ILSVRC2012_val_00003030.bin 070605050504040404040303030303
ILSVRC2012_val_00003037.bin 080707060606060505050505040404
ILSVRC2012_val_00003045.bin 0b0a07060606050505050505050505
ILSVRC2012_val_00003046.bin 070706060605050404040404030303
ILSVRC2012_val_00003060.bin 060605050404040404040404030303
ILSVRC2012_val_00003067.bin 050505050504040404040404040403
ILSVRC2012_val_00003076.bin 090908080707060505050505040404
ILSVRC2012_val_00003089.bin 0b0a09080807060606050505050404
ILSVRC2012_val_00003091.bin 070606060605050505050505050505
ILSVRC2012_val_00003097.bin 0d0806060505050504040303030303
ILSVRC2012_val_00003111.bin 0c0907070606060606050505040404
ILSVRC2012_val_00003115.bin 080707070707060606060606050505
